URL d'accès au document;Type de document;Titre;Auteurs;Contributeur;Éditeurs;Date d'édition;Description;Sujet;Nombre de Vues;Code Sdewey;Sdewey;Set OAI;Provenance;Ark Catalogue;Ark Recueil;Droits
https://gallica.bnf.fr/ark:/12148/bpt6k5608508z;monographie;Ballade sur le cardinal;;;;1649;;;4;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb332547947;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5426071f;monographie;Rondeau du Roy contre le cardinal Mazarin;;;;1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb335920589;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56949891;monographie;Vers présentez au Roy à son entrée royalle en sa ville de Paris, par le sieur Du Pelletier,...;Du Pelletier, Pierre (16..-1680?). Auteur du texte;;J. Julien (Paris);1649;;;8;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb30378436c;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5574974s;monographie;Regrets de la mort glorieuse de M. de Tancrède de Rohan... par le Sr Scudéry;Scudéry, Georges de (1601-1667). Auteur du texte;;Vve A. Musnier (Paris);1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb313418020;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5723577f;monographie;Prédiction de l'enlèvement du Roy et sur le desbordement de la rivière;;;;1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33546877q;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k57080502;monographie;Epitaphe de Monsieur de Nemours;;;;1652;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb333704167;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5612953k;monographie;Nouveaux triolets frondeurs, ou Les triomphes de la Fronde.;;;;1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335101782;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5618771p;monographie;Second discours ou Dialogue des trois figures de bronze qui sont sur le pont au change;;;;1649;;;6;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33599247w;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k55767042;monographie;Au prince du sang, surnommé la Cuirasse;;;[S.l., 1649];1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb359448238;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54259161;monographie;La pure vérité cachée;;;;1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33558916g;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425938m;monographie;Eloges du coeur royal de Mgr. le duc de Beaufort, pair de France, etc., et de ses généreuses actions à Sainct-Denys. [Signé : Roveyrol.];Roveyrol. Auteur du texte;;N. Gasse (Paris);1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb31263394t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56085316;monographie;Balade des maltotiers;;;[S. l.] M. DC. XLIX.;1649;;;8;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33254787z;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5426090s;monographie;Les reproches de la fortune à Mazarin;;;;1649;;;6;44;Français;gallica:theme:4:44 ¤ gallica:typedoc:monographies;bnf.fr;cb33585718h;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5426097p;monographie;Requeste au Parlement sur l'attentat commis en la personne du roy. La nuit des roys, fait par Louys Cadet;Cadet, Louis. Auteur du texte;;impr. de A. Lesselin (Paris);1649;;;10;44;Français;gallica:theme:4:44 ¤ gallica:typedoc:monographies;bnf.fr;cb30183087t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56120418;monographie;Poeme à la Fronde sur le triomphe du roy.;;;A Paris, chez Denys Pelé, ruë de la vieille bouclerie, au gros Tournois. M. DC. L.;1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335408867;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54261066;monographie;La Prosopopée de la France aux bons soldats françois tant cavalerie qu'infanterie;;;;1649;;;10;44;Français;gallica:theme:4:44 ¤ gallica:typedoc:monographies;bnf.fr;cb33556476g;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5851775r;monographie;L'illustre barbe D. C. En vers burlesques;;;;1649;;;8;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33425910w;cb421393414;domaine public
